GEOID20,CNTY,vtd6,Name
48213004NYL,213,004NYL,004NYL
48453000406,453,000406,000406
48453000329,453,000329,000329
482130004CC,213,0004CC,0004CC
48453000209,453,000209,000209
48453000440,453,000440,000440
48113002927,113,002927,002927
48113001070,113,001070,001070
48113002064,113,002064,002064
48113003411,113,003411,003411
48113004645,113,004645,004645
48113002701,113,002701,002701
48097000026,97,000026,000026
48097000005,97,000005,000005
48015000417,15,000417,000417
48503000020,503,000020,000020
48013000024,13,000024,000024
4803300002A,33,00002A,00002A
48135000106,135,000106,000106
4831100002B,311,00002B,002B
48097000015,97,000015,000015
48387000002,387,000002,000002
484990003-1,499,0003-1,0003-1
48217000019,217,000019,000019
48167000105,167,000105,000105
48113002067,113,002067,002067
48387000019,387,000019,000019
48483000005,483,000005,000005
48167000309,167,000309,000309
48187000402,187,000402,000402
48491000273,491,000273,000273
48493000209,493,000209,000209
48491000455,491,000455,000455
48145000104,145,000104,000104
48485000110,485,000110,000110
48057000018,57,000018,000018
48113001013,113,001013,001013
48113002925,113,002925,002925
48113002060,113,002060,002060
48491000480,491,000480,000480
48113001017,113,001017,001017
48113001112,113,001112,001112
48209000229,209,000229,000229
48291000019,291,000019,000019
48113001003,113,001003,001003
48113002069,113,002069,002069
48453000109,453,000109,000109
48113001118,113,001118,001118
4828300003A,283,00003A,00003A
48055000110,55,000110,000110
48453000249,453,000249,000249
48453000228,453,000228,000228
4827700004C,277,00004C,00004C
48113001008,113,001008,001008
48113002065,113,002065,002065
484990002-1,499,0002-1,0002-1
48285000012,285,000012,0012
48135000107,135,000107,000107
48429005-11,429,005-11,005-11
484990004-1,499,0004-1,0004-1
48161000012,161,000012,0012
48291000017,291,000017,000017
48485000317,485,000317,000317
48209000415,209,000415,000415
48209000111,209,000111,000111
48491000218,491,000218,000218
48209000129,209,000129,000129
48291000016,291,000016,000016
48291000015,291,000015,000015
48113002012,113,002012,002012
48453000222,453,000222,000222
48453000217,453,000217,000217
48113004636,113,004636,004636
48113001119,113,001119,001119
48113001027,113,001027,001027
48387000014,387,000014,000014
48387000020,387,000020,000020
48347000017,347,000017,000017
48097000009,97,000009,000009
48305000013,305,000013,000013
48305000010,305,000010,000010
48113002014,113,002014,002014
48113002036,113,002036,002036
48097000019,97,000019,000019
48187000108,187,000108,000108
48485000314,485,000314,000314
48149000021,149,000021,0021
48149000026,149,000026,0026
48113002029,113,002029,002029
48113002059,113,002059,002059
48113002013,113,002013,002013
48113001018,113,001018,001018
48113001016,113,001016,001016
48385000007,385,000007,000007
48291000029,291,000029,000029
48113001501,113,001501,001501
48113001117,113,001117,001117
48057000022,57,000022,000022
48145000405,145,000405,000405
48113001005,113,001005,001005
48113001002,113,001002,001002
48285000017,285,000017,0017
48439004691,439,004691,004691
48113001019,113,001019,001019
48149000024,149,000024,0024
48209000235,209,000235,000235
48055000412,55,000412,000412
48277001E7C,277,001E7C,001E7C
48113001127,113,001127,001127
48031000304,31,000304,000304
48485000312,485,000312,000312
48483000007,483,000007,000007
48209000123,209,000123,000123
48057000016,57,000016,000016
48113004105,113,004105,004105
48057000015,57,000015,000015
48477000414,477,000414,000414
48209000421,209,000421,000421
48209000238,209,000238,000238
48025000008,25,000008,0008
48407000013,407,000013,000013
48439004693,439,004693,004693
48167000169,167,000169,000169
48167000394,167,000394,000394
48097000027,97,000027,000027
48285000015,285,000015,0015
4832900402A,329,00402A,00402A
48113001015,113,001015,001015
48113001120,113,001120,001120
48185000011,185,000011,000011
48113002072,113,002072,002072
48055000118,55,000118,000118
48097000031,97,000031,000031
48347000030,347,000030,000030
48459000019,459,000019,000019
48209000236,209,000236,000236
48209000232,209,000232,000232
48113003401,113,003401,003401
48167000192,167,000192,000192
48209000418,209,000418,000418
48453000419,453,000419,000419
48347000031,347,000031,000031
48285000007,285,000007,0007
48149000020,149,000020,0020
48097000020,97,000020,000020
48485000115,485,000115,000115
48113001001,113,001001,001001
48423000072,423,000072,000072
48423000078,423,000078,000078
48013000002,13,000002,000002
